Estacao,Date,Data2,Day,Hora,precip,TempMaxima,Temp Comp Media,Umidade Relativa Media
83743,17/10/2006,17/10/2006,1,0,0,30.2,25.64,75.75
83743,18/10/2006,18/10/2006,2,0,3.3,23.8,21.9,86.75
83743,19/10/2006,19/10/2006,3,0,3.5,22.5,20.92,91.75
83743,20/10/2006,20/10/2006,4,0,16,24.9,21.54,79.25
83743,21/10/2006,21/10/2006,5,0,8.7,24.4,21.06,66.25
83743,22/10/2006,22/10/2006,6,0,0,25.2,20.6,73.75
83743,23/10/2006,23/10/2006,7,0,0.4,27.2,22.14,61.25
83743,24/10/2006,24/10/2006,8,0,0,29.7,23.16,63.75
83743,25/10/2006,25/10/2006,9,0,0,31.3,25.3,62.5
83743,26/10/2006,26/10/2006,10,0,0,36.8,29.06,52.25
83743,27/10/2006,27/10/2006,11,0,0.4,36.7,25.28,67
83743,28/10/2006,28/10/2006,12,0,0,28.7,23.72,61.25
83743,29/10/2006,29/10/2006,13,0,0,29.1,24,65
83743,30/10/2006,30/10/2006,14,0,0,29.6,24.74,70
83743,31/10/2006,31/10/2006,15,0,0,31.5,26.18,73.75
83743,02/11/2006,02/11/2006,17,0,0.5,32.7,27,85.25
83743,03/11/2006,03/11/2006,18,0,27.3,29.2,25.56,81.75
83743,04/11/2006,04/11/2006,19,0,2.6,27.7,24.56,75.25
83743,05/11/2006,05/11/2006,20,0,0,27.5,23.86,73.5
83743,06/11/2006,06/11/2006,21,0,0,33.3,26.28,70.75
83743,07/11/2006,07/11/2006,22,0,0,27.4,24.66,76.25
83743,08/11/2006,08/11/2006,23,0,3.9,24.5,22.08,65.75
83743,09/11/2006,09/11/2006,24,0,0,26.5,22.46,63
83743,10/11/2006,10/11/2006,25,0,5,21.9,18.72,86.25
83743,11/11/2006,11/11/2006,26,0,14,24.1,19.78,81.75
83743,12/11/2006,12/11/2006,27,0,0.6,25.7,21.12,78.75
83743,13/11/2006,13/11/2006,28,0,0.5,25.6,22.16,80.5
83743,14/11/2006,14/11/2006,29,0,12.8,23.5,22.08,87
83743,15/11/2006,15/11/2006,30,0,23.9,31.5,24.86,76.25
83743,16/11/2006,16/11/2006,31,0,0,36.7,28.18,64.5
83743,17/11/2006,17/11/2006,32,0,0,37.2,30.16,60
83743,18/11/2006,18/11/2006,33,0,0,38.1,29.48,68.75
83743,19/11/2006,19/11/2006,34,0,1.5,31.3,26.7,70.5
83743,20/11/2006,20/11/2006,35,0,4.2,30.5,26.04,73.75
83743,21/11/2006,21/11/2006,36,0,0.7,27,24.82,72.75
83743,22/11/2006,22/11/2006,37,0,0.6,30.4,25.56,68.25
83743,23/11/2006,23/11/2006,38,0,0,28,25.28,76.25
83743,24/11/2006,24/11/2006,39,0,0,32.7,27.82,71.75
83743,25/11/2006,25/11/2006,40,0,0,38.6,31.56,57.25
83743,26/11/2006,26/11/2006,41,0,0,32.6,29.06,70
83743,27/11/2006,27/11/2006,42,0,14.4,30.7,26.42,82.5
83743,28/11/2006,28/11/2006,43,0,0.6,36.1,28.12,80
83743,29/11/2006,29/11/2006,44,0,12,31,26.66,83.25
83743,30/11/2006,30/11/2006,45,0,40.5,27,24.3,87.75