Estacao,Date,Data2,Day,Hora,TempMaxima,Temp Comp Media,precip,Umidade Relativa Media,total mosquitoes collected,avg temp,avg precip,avg humidity,mosquitoes found
83743,11/11/2006,11/11/2006,0,0,"44,22","19,78",14,"81,75","81,00",32,7,80,54
83743,12/11/2006,12/11/2006,0,0,"44,40","44,55","0,6","78,75","27,00",33,7,84,24
83743,13/11/2006,13/11/2006,0,0,"44,37","22,16","0,5","80,50","41,00",29,0,62,60
83743,14/11/2006,14/11/2006,0,0,"44,34","44,43","12,8","87,00","7,00",37,1,70,33
83743,16/11/2006,16/11/2006,0,0,"36,70","28,18",0,"64,50","82,00",35,2,73,30
83743,17/11/2006,17/11/2006,0,0,"37,20","30,16",0,"60,00","37,00",25,0,72,71
83743,18/11/2006,18/11/2006,0,0,"38,20","29,48",0,"68,75","47,00",,,,
83743,19/11/2006,19/11/2006,0,0,"44,29","44,40","1,5","70,50","19,00",,,,
83743,20/11/2006,20/11/2006,0,0,"44,35","44,31","4,2","73,75","37,00",,,,
83743,21/11/2006,21/11/2006,0,0,"27,00","24,82","0,2","72,75","23,00",,,,
83743,22/11/2006,22/11/2006,0,0,"44,32","25,56","0,6","68,25","89,00",,,,
83743,23/11/2006,23/11/2006,0,0,"28,00","25,28",0,"76,25","52,00",,,,